method,model,dataset,status,auroc,auprc,accuracy,f1,brier,ece,threshold,source_path,source_sha256,metric_locator
Method A TriviaQA-source Direct Transfer,ministral_8b_instruct,medals_9k,OK,0.5907639158983276,0.4801245600246379,0.5998515219005197,0.2585969738651995,0.26940345764160156,0.16904185553867462,0.6439071953296661,02_模型实验过程与结果/ministral_8b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/medals_9k/ensemble_test_metrics.json,b7f3224aeb4aca4222de6bc7eeff6664bb5fe9d3c66dc39cae08a8595bd408d9,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,ministral_8b_instruct,gsm8k,FORMAL,0.55450361962967,0.20975070240674343,0.8512898330804249,0.0,0.13142696022987366,0.07883903367249843,0.6439071953296661,gsm8k_aligned_v2/metrics/ministral_8b_instruct/method_a_trivia_to_gsm8k/ensemble_test_metrics.json,b2cf05f83c331091f153fac568629e2528efee99b20cefaa41400b1718e4009a,json:/test
Method A TriviaQA-source Direct Transfer,mistral_7b_instruct,trivia_qa_2_60k,OK,0.8878139242864377,0.9224222260602668,0.8102937827374175,0.8459974117212054,0.12703485786914825,0.03229026681062939,0.6490442276000976,02_模型实验过程与结果/mistral_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/trivia_qa_2_60k/ensemble_test_metrics.json,88ded14ab340b5d4846f5bcdc2243e56ebe909b55462689f319491babf5fdb50,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,mistral_7b_instruct,notable_people,OK,0.8116390422625082,0.9552356612103717,0.702075702075702,0.7973421926910299,0.16457678377628326,0.18969187882793695,0.6490442276000976,02_模型实验过程与结果/mistral_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/notable_people/ensemble_test_metrics.json,d24e03fbe5e4fe986f0336dde12f19c892419fb57555cfc01ab4cf7ae329f8da,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,mistral_7b_instruct,cities_10k,OK,0.9584967320261438,0.9461203818595649,0.7428189712758851,0.6540880503144654,0.13698914647102356,0.16712460461655554,0.6490442276000976,02_模型实验过程与结果/mistral_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/cities_10k/ensemble_test_metrics.json,9501017e93c5edf3f38fbed0bb6faab4508444cfef463712b993ccf989ba145e,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,mistral_7b_instruct,math_operations_6k,OK,0.8959590658619785,0.9521644418516805,0.8321428571428572,0.8770706190061028,0.11346567422151566,0.10586173710901114,0.6490442276000976,02_模型实验过程与结果/mistral_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/math_operations_6k/ensemble_test_metrics.json,4a98f2c6a0dd6e3fe3c7b324b10e701125b8e22e364eb1354c2377c201a7ad2b,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,mistral_7b_instruct,medals_9k,OK,0.6513071528121207,0.5802630573063736,0.6057906458797327,0.24680851063829787,0.2542743980884552,0.15999905910528228,0.6490442276000976,02_模型实验过程与结果/mistral_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/medals_9k/ensemble_test_metrics.json,523f90cd027961f50d712dc2e368892c1c24e1a94872cbe938960f057dee8bf6,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,mistral_7b_instruct,gsm8k,FORMAL,0.665642665516911,0.26984580037033445,0.8922610015174507,0.0,0.100367970764637,0.08702418326551437,0.6490442276000976,gsm8k_aligned_v2/metrics/mistral_7b_instruct/method_a_trivia_to_gsm8k/ensemble_test_metrics.json,9cb8e1420712f83a760505d952b6a453ca98cb498c6ddbf60a8299102dcfb829,json:/test
Method A TriviaQA-source Direct Transfer,llama3.1_8b_chat,trivia_qa_2_60k,OK,0.853858239049992,0.9057262298050652,0.7879754042359371,0.8360626870927981,0.14105412364006042,0.018176657711250096,0.657275378704071,02_模型实验过程与结果/llama3.1_8b_chat/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/trivia_qa_2_60k/ensemble_test_metrics.json,4008d89e30082800dcbbd2f31c313184792f28d313329a78526c34e5fe565710,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,llama3.1_8b_chat,notable_people,OK,0.7620167225315568,0.9685315489388399,0.7328182187881253,0.8360369353631145,0.11925867199897766,0.21409491330064037,0.657275378704071,02_模型实验过程与结果/llama3.1_8b_chat/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/notable_people/ensemble_test_metrics.json,78efb563b6d92e1523c4eeb2f37580d9b8cedef35b62df44c6dc0a4258e04e7d,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,llama3.1_8b_chat,cities_10k,OK,0.8428822748302082,0.9234953221166249,0.7595190380761523,0.8099260823653643,0.1559889018535614,0.10177855475313596,0.657275378704071,02_模型实验过程与结果/llama3.1_8b_chat/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/cities_10k/ensemble_test_metrics.json,4fe9a8516bb6a5564f2a02f11cd902645fdbc2eaf2903ee18afce0f1ac4990cc,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,llama3.1_8b_chat,math_operations_6k,OK,0.9398211091234348,0.977884380346478,0.8095238095238095,0.8627787307032591,0.09888844937086105,0.16574113830214454,0.657275378704071,02_模型实验过程与结果/llama3.1_8b_chat/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/math_operations_6k/ensemble_test_metrics.json,7ff30906230dcf56b1e5d3f059cb251535458ba417a0ee6d94104ad948daef80,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,llama3.1_8b_chat,medals_9k,OK,0.6349608136268914,0.5939974904369391,0.6203566121842496,0.47156153050672184,0.2536419630050659,0.15794730196149262,0.657275378704071,02_模型实验过程与结果/llama3.1_8b_chat/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/medals_9k/ensemble_test_metrics.json,4959bf11e9579f3b02ddd9d1f8160cbe1049515ebd3b9edc7266efb452c365b4,json:/test (fallback: json:/)
Method A TriviaQA-source Direct Transfer,llama3.1_8b_chat,gsm8k,FORMAL,0.44408235153637954,0.12335705273801467,0.866464339908953,0.0,0.12344805896282196,0.07742596501329058,0.657275378704071,gsm8k_aligned_v2/metrics/llama3.1_8b_chat/method_a_trivia_to_gsm8k/ensemble_test_metrics.json,3768453188045820b2fd5abbebd4ca1e75c10b4dcf9babf82ab7eaf2d1face7b,json:/test
