method,model,dataset,status,dev_auroc,test_auroc,test_auprc,test_accuracy,test_f1,test_brier,test_ece,threshold,test_threshold,dev_test_threshold_match,test_source_path,test_source_sha256,test_metric_locator,dev_source_path,dev_source_sha256,dev_metric_locator,reference_role
Method B Frozen-neuron Task Adaptation,ministral_8b_instruct,medals_9k,OK,0.9551831430597818,0.9450708092154934,0.9350985238242622,0.8656273199703044,0.8402471315092674,0.08983568102121353,0.04841256468697176,0.2793638840317726,0.2793638840317726,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/ministral_8b_instruct/medals_9k/ensemble_test_metrics.json,4189843bb25ce550887e268a536529bcfae6cf815ba9bbb47c90c78268bdf191,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/ministral_8b_instruct/medals_9k/ensemble_dev_metrics.json,df51645a89ecbb5a7e179e63d096acd29a6ad3ff9eab8fe7f25874f84ba24444,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,ministral_8b_instruct,gsm8k,FORMAL,0.866038490195722,0.8490896358543417,0.6143725439047957,0.8528072837632777,0.5590909090909091,0.08663531392812729,0.014531127927607216,0.24989965856075286,0.24989965856075286,True,gsm8k_aligned_v2/metrics/ministral_8b_instruct/trivia_top128/ensemble_test_metrics.json,430da15322b499a9efb24d91ba6d9a7937b0309de73daa933d127b11a0e27e8e,json:/test,gsm8k_aligned_v2/checkpoints/ministral_8b_instruct/trivia_top128/ensemble_dev_metrics.json,9b3f678ea4aa43172c72ed833d8cd2619b3cbad9e929cc0e751d2196cd7fd17d,json:/dev,method_b_target_adaptation_aligned_v2
Method B Frozen-neuron Task Adaptation,mistral_7b_instruct,trivia_qa_2_60k,OK,0.8914269738956984,0.8878139242864377,0.9224222260602668,0.8102937827374175,0.8459974117212054,0.12703485786914825,0.03229026681062939,0.6490442276000976,0.6490442276000976,True,02_模型实验过程与结果/mistral_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/trivia_qa_2_60k/ensemble_test_metrics.json,88ded14ab340b5d4846f5bcdc2243e56ebe909b55462689f319491babf5fdb50,json:/test (fallback: json:/),02_模型实验过程与结果/mistral_7b_instruct/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/source_ensemble_dev_metrics.json,568e3a93407eb7a97e12687aa7c15d70a6cf2697466abf379993b6c6f3cc58f3,json:/dev (fallback: json:/),triviaqa_in_domain_shared_method_a_reference
Method B Frozen-neuron Task Adaptation,mistral_7b_instruct,notable_people,OK,0.8744354249220944,0.8970928766601659,0.9772568384095663,0.824989824989825,0.8886010362694301,0.07966938614845276,0.03436253467589119,0.7994813561439514,0.7994813561439514,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/mistral_7b_instruct/notable_people/ensemble_test_metrics.json,87b3088fb63fa99aee035c1f2d5ce2c2af9af6f844958ee58b9dd22c7efaa07c,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/mistral_7b_instruct/notable_people/ensemble_dev_metrics.json,60f920e5cae281e99d6d8ff25b2fb18b9a1c971e20d0f32d6f4731add24375de,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,mistral_7b_instruct,cities_10k,OK,0.9889842976754141,0.983958355655559,0.980219276215477,0.9378757515030061,0.9387755102040817,0.04832078889012337,0.040723080090953205,0.25104741752147675,0.25104741752147675,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/mistral_7b_instruct/cities_10k/ensemble_test_metrics.json,6b10441fe909cc017d441bc1af57d430f7f11f85878c394eece0d0ae680c72c1,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/mistral_7b_instruct/cities_10k/ensemble_dev_metrics.json,872dc0cf72b98637edbc1032bec201abd5036e8073bce84baa4fc8245eaadf3f,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,mistral_7b_instruct,math_operations_6k,OK,0.993775328726785,0.9892052246421179,0.9957106980380598,0.9583333333333334,0.9714285714285714,0.026214754208922386,0.023980293636365488,0.8090387880802155,0.8090387880802155,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/mistral_7b_instruct/math_operations_6k/ensemble_test_metrics.json,fc4fbe39da9750dce815cdc017e09bb13ea8fe4da486d43f854ead761d9232f3,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/mistral_7b_instruct/math_operations_6k/ensemble_dev_metrics.json,53b2922c929c2da5760247caf7bfea03a6c29cc17c38476baba62c7eafd6e034,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,mistral_7b_instruct,medals_9k,OK,0.9548257855406501,0.9586802589578743,0.9544814347937518,0.8767631774313289,0.8625827814569537,0.07964318990707397,0.030240799791270173,0.3370785295963287,0.3370785295963287,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/mistral_7b_instruct/medals_9k/ensemble_test_metrics.json,ea5177e1ba782db0f998e29a0d177720940aab417a86d097816f30c7267c1e56,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/mistral_7b_instruct/medals_9k/ensemble_dev_metrics.json,01f09908d6cb4e3cadc652cf63e0837d6a9503f011d35ca09fb4d33d40fb739c,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,mistral_7b_instruct,gsm8k,FORMAL,0.8041032943626073,0.7994095525534157,0.44205095387223975,0.7738998482549317,0.37656903765690375,0.07693253457546234,0.02206560208466419,0.11957730054855346,0.11957730054855346,True,gsm8k_aligned_v2/metrics/mistral_7b_instruct/trivia_top128/ensemble_test_metrics.json,0937a5a4d7065b451daf364249ccb2dda9e1a3361591fd23077b5caa40341020,json:/test,gsm8k_aligned_v2/checkpoints/mistral_7b_instruct/trivia_top128/ensemble_dev_metrics.json,4cbbfaff5b28c9b6950a89eb781c53f9b0ba48a301db6e7b6f722e5939fad791,json:/dev,method_b_target_adaptation_aligned_v2
Method B Frozen-neuron Task Adaptation,llama3.1_8b_chat,trivia_qa_2_60k,OK,0.8504444455725504,0.853858239049992,0.9057262298050652,0.7879754042359371,0.8360626870927981,0.14105412364006042,0.018176657711250096,0.657275378704071,0.657275378704071,True,02_模型实验过程与结果/llama3.1_8b_chat/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/direct_eval/trivia_qa_2_60k/ensemble_test_metrics.json,4008d89e30082800dcbbd2f31c313184792f28d313329a78526c34e5fe565710,json:/test (fallback: json:/),02_模型实验过程与结果/llama3.1_8b_chat/正式结果/Method_A_Direct_Transfer_no_scalar_raw_activation/source_ensemble_dev_metrics.json,2b1ec40c07d2d084e840c9e56dfa1addfed5079c6402f63b0c2ecce00ad83a51,json:/dev (fallback: json:/),triviaqa_in_domain_shared_method_a_reference
Method B Frozen-neuron Task Adaptation,llama3.1_8b_chat,notable_people,OK,0.8222297152174265,0.8342197844815646,0.9807515415619386,0.7641317608784058,0.8564356435643564,0.058610230684280396,0.014077969789262611,0.9370848894119262,0.9370848894119262,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/llama3.1_8b_chat/notable_people/ensemble_test_metrics.json,f2eb2fc2ff3896828ace89d3334421993c111a74c24fb4476553ca8604e94e75,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/llama3.1_8b_chat/notable_people/ensemble_dev_metrics.json,dbe30a7869ee89b1d169d22fa81bbea0da845ab8c72a67426e1cf3894658b264,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,llama3.1_8b_chat,cities_10k,OK,0.9144332836908649,0.9132137389730447,0.9587037146135401,0.8403473613894455,0.8818586258032625,0.11331749707460403,0.06088398381291268,0.7354254841804504,0.7354254841804504,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/llama3.1_8b_chat/cities_10k/ensemble_test_metrics.json,44675d3b2e903bdcf3ecbef703a9b79b18b51ebb94f45294d71f734a46e48f2a,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/llama3.1_8b_chat/cities_10k/ensemble_dev_metrics.json,b60b82d9bdb7930b56837eb19e66268644b03e0a614334af7121f7418892663a,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,llama3.1_8b_chat,math_operations_6k,OK,0.9802902007553169,0.975114291393361,0.9915343506960586,0.9214285714285714,0.9477020602218701,0.05078816041350365,0.029888440957958146,0.6647213160991668,0.6647213160991668,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/llama3.1_8b_chat/math_operations_6k/ensemble_test_metrics.json,0be5310642cb1694266bab196e01f2d506d14e6836fbf24e0865e74e10e60828,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/llama3.1_8b_chat/math_operations_6k/ensemble_dev_metrics.json,30a6e0e20ea2402d73343b17b3fa3f1eb2a09ffb37babf81c0b1030103727942,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,llama3.1_8b_chat,medals_9k,OK,0.8544984850540406,0.8454980973090513,0.8417394133276405,0.7919762258543833,0.7472924187725631,0.1531221568584442,0.07085710052915617,0.4156754076480865,0.4156754076480865,True,outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/llama3.1_8b_chat/medals_9k/ensemble_test_metrics.json,192ceff8d94a86c528ce5034cc6af4e5f9814a205bf4e50418e39902298b0a4d,json:/test (fallback: json:/),outputs/multimodel_trivia10k_top128/frozen_neuron_adaptation_no_scalar_raw_activation/llama3.1_8b_chat/medals_9k/ensemble_dev_metrics.json,bb8aa96569084bbee497e152e4591f729007483dbfcba9e00fdac63a14d9563e,json:/dev (fallback: json:/),method_b_target_adaptation
Method B Frozen-neuron Task Adaptation,llama3.1_8b_chat,gsm8k,FORMAL,0.8364310537420876,0.8016189699092502,0.4394052089825074,0.7291350531107739,0.4079601990049751,0.0960344523191452,0.03210995795716827,0.09924830049276352,0.09924830049276352,True,gsm8k_aligned_v2/metrics/llama3.1_8b_chat/trivia_top128/ensemble_test_metrics.json,d1dd8220c819bddecac26b35b550ae8e71e92dbc0c498b7b6d529405ed5b6bb8,json:/test,gsm8k_aligned_v2/checkpoints/llama3.1_8b_chat/trivia_top128/ensemble_dev_metrics.json,01025bccbb381be9f42513fd1e47a2bf6957f0495f4297189c31161a80b38ae4,json:/dev,method_b_target_adaptation_aligned_v2
